ymod,prat,cte,therm,ctemp,press,stress,displacement
229500000000,0.11365,1.085e-05,9.95,66.5,204500,904888527.669159,0.00163421561279121
245500000000,0.41785,1.135e-05,5.75,258.5,276700,945850512.710149,0.00165517096696707
257500000000,0.16825,1.005e-05,9.75,210.5,478100,979840581.392559,0.00124440874158969
271500000000,0.20335,1.305e-05,13.05,222.5,322300,1330635802.95645,0.00163625386269264
230500000000,0.23845,1.015e-05,6.55,345.5,143700,990630637.10142,0.00171552566568231
254500000000,0.24625,1.275e-05,6.15,264.5,333700,1189292740.50734,0.00180662068067479
207500000000,0.10585,7.05e-06,7.95,192.5,455300,552705993.081545,0.000935247302714241
296500000000,0.12145,1.105e-05,14.45,111.5,356500,1187060022.11525,0.0013166479109102
252500000000,0.17995,9.25e-06,13.55,303.5,124700,1033287238.20585,0.00145425124868398
292500000000,0.35155,1.045e-05,12.65,252.5,158900,1126470905.91679,0.00148079662639043
204500000000,0.40615,1.245e-05,12.85,198.5,139900,918914986.174365,0.00183373099610498
248500000000,0.18775,1.485e-05,14.05,207.5,181700,1436495217.69012,0.00197819195469908
203500000000,0.34765,1.475e-05,12.15,342.5,136100,1173611153.84914,0.00216680134429255
